cod_municipio,municipio,região,populacao,alta_qtd,media_alta_qtd,alta_indic,media_alta_indic
4106902,Curitiba,,1871789,639,4440,0.341384633,2.37206224
4125506,São José dos Pinhais,,327746,324,1220,0.988570417,3.72239478
4115200,Maringá,,454146,290,1268,0.638561168,2.79205366
4104808,Cascavel,,350644,258,1136,0.735789005,3.23975314
4113700,Londrina,,588125,244,1292,0.41487779,2.1968119
4105805,Colombo,,238780,236,752,0.988357484,3.14934249
4119905,Ponta Grossa,,391654,180,1021,0.459589331,2.60689282
4100400,Almirante Tamandaré,,122032,170,286,1.393077226,2.34364757
4120606,Prudentópolis,,49395,170,118,3.441643891,2.38890576
4104204,Campo Largo,,144165,169,348,1.172267887,2.41390074
4108304,Foz do Iguaçu,,286323,138,224,0.481973156,0.78233324
4119152,Pinhais,,131048,132,946,1.007264514,7.21872902
4128104,Umuarama,,117148,112,226,0.956055588,1.9291836
4101507,Arapongas,,118573,106,346,0.893964056,2.91803362
4127700,Toledo,,156123,106,800,0.678951852,5.12416492
4101408,Apucarana,,135969,104,274,0.76488023,2.01516522
4107652,Fazenda Rio Grande,,167315,100,319,0.597675044,1.90658339
4109401,Guarapuava,,190342,98,566,0.514862721,2.9735949
4101804,Araucária,,166699,86,680,0.515899915,4.07920863
4103701,Cambé,,107220,78,431,0.727476217,4.01977243
4118402,Paranavaí,,90969,78,314,0.85743495,3.45172531
4118501,Pato Branco,,94239,76,377,0.80646017,4.0004669
4104303,Campo Mourão,,99170,72,258,0.726026016,2.60159322
4122404,Rolândia,,71344,70,322,0.981161695,4.5133438
4105508,Cianorte,,82232,68,236,0.82692869,2.86992898
4108403,Francisco Beltrão,,96622,64,394,0.662375028,4.07774627
4122206,Rio Branco do Sul,,32566,64,66,1.965239821,2.02665357
4102307,Balsa Nova,,14608,62,36,4.244249726,2.46440307
4114609,Marechal Cândido Rondon,,56530,58,186,1.026003892,3.29028834
4110706,Irati,,59253,56,160,0.945099826,2.70028522
4124053,Santa Terezinha de Itaipu,,23236,54,44,2.323980031,1.89361336
4101002,Ampére,,19506,50,82,2.563313852,4.20383472
4104907,Castro,,75956,50,204,0.658275844,2.68576544
4126256,Sarandi,,126057,50,216,0.396645962,1.71351055
4119509,Piraquara,,131101,48,140,0.36612993,1.06787896
4109807,Ibiporã,,54917,46,116,0.837627693,2.11227853
4114807,Marialva,,47028,46,112,0.978140682,2.38155992
4117909,Palotina,,35063,46,146,1.311924251,4.16393349
4121406,Realeza,,18928,46,68,2.430262046,3.59256128
4104402,Cândido de Abreu,,16727,44,10,2.630477671,0.59783583
4113502,Loanda,,23149,44,350,1.900730053,15.1194436
4117305,Ortigueira,,26078,43,29,1.648899455,1.11204847
4119608,Pitanga,,33640,42,66,1.248513674,1.96195006
4128203,União da Vitória,,55238,42,228,0.760346139,4.12759332
4106407,Cornélio Procópio,,44599,40,70,0.896881096,1.56954192
4107207,Dois Vizinhos,,44828,40,234,0.892299456,5.21995182
4124608,São Carlos do Ivaí,,6588,40,18,6.071645416,2.73224044
4105409,Chopinzinho,,21646,38,72,1.75552065,3.32624965
4117701,Palmeira,,36384,38,76,1.044415128,2.08883026
4125704,São Miguel do Iguaçu,,29285,38,84,1.297592624,2.86836264
4110102,Imbituva,,29893,36,244,1.20429532,8.16244606
4113304,Laranjeiras do Sul,,31953,36,58,1.126654774,1.81516603
4115804,Medianeira,,54390,36,176,0.661886376,3.23588895
4117222,Nova Santa Rosa,,8292,36,44,4.341534009,5.30631934
4117602,Palmas,,43769,36,184,0.822499943,4.2038886
4104253,Campo Magro,,31678,34,72,1.073300082,2.27287076
4112108,Jandaia do Sul,,23006,34,62,1.477875337,2.69494914
4116901,Nova Esperança,,26616,34,64,1.277427112,2.40456868
4126603,Siqueira Campos,,24083,34,42,1.411784246,1.74396877
4127106,Telêmaco Borba,,73331,33,247,0.450014319,3.36828899
4105904,Colorado,,22902,32,56,1.397257881,2.44520129
4118451,Pato Bragado,,5976,32,38,5.354752343,6.35876841
4123501,Santa Helena,,24917,32,68,1.284263756,2.72906048
4101101,Andirá,,20234,30,28,1.48265296,1.38380943
4109609,Guaratuba,,42801,30,52,0.700918203,1.21492488
4114104,Mandaguaçu,,31544,30,68,0.951052498,2.155719
4114302,Mandirituba,,33795,30,176,0.887705282,5.20787099
4124103,Santo Antônio da Platina,,45261,30,60,0.662822297,1.32564459
4125605,São Mateus do Sul,,44313,30,128,0.677002234,2.88854287
4111803,Jacarezinho,,40356,28,60,0.693824958,1.48676777
4114203,Mandaguari,,36827,28,198,0.760311728,5.37649008
4117503,Paiçandu,,49999,28,156,0.5600112,3.1200624
4119954,Pontal do Paraná,,32985,28,38,0.848870699,1.15203881
4122305,Rio Negro,,31406,28,120,0.891549385,3.82092594
4102000,Assis Chateaubriand,,36400,26,82,0.714285714,2.25274725
4102109,Astorga,,25477,26,70,1.02052832,2.74757625
4128708,Vitorino,,9942,26,70,2.615167974,7.04083685
4102406,Bandeirantes,,31309,24,40,0.766552748,1.27758791
4104600,Capitão Leônidas Marques,,14644,24,52,1.638896476,3.55094237
4111258,Itaperuçu,,31843,24,202,0.75369783,6.3436234
4111407,Ivaí,,13142,24,34,1.826206057,2.58712525
4113205,Lapa,,45620,24,112,0.52608505,2.45506357
4120903,Quedas do Iguaçu,,30785,24,108,0.779600455,3.50820205
4122701,Sabáudia,,8819,24,54,2.721396984,6.12314321
4124020,Santa Tereza do Oeste,,12928,24,82,1.856435644,6.34282178
4103602,Cambará,,23956,22,60,0.918350309,2.50459175
4104709,Carlópolis,,16908,22,12,1.301159215,0.70972321
4108809,Guaíra,,31971,22,40,0.688123612,1.25113384
4115705,Matinhos,,39212,22,28,0.561052739,0.71406712
4127403,Terra Roxa,,18448,22,40,1.192541197,2.16825672
4127601,Tijucas do Sul,,17717,22,30,1.241745216,1.69328893
4104501,Capanema,,19205,20,20,1.04139547,1.04139547
4106506,Coronel Vivida,,26413,20,72,0.757202893,2.72593041
4110607,Iporã,,15730,20,50,1.271455817,3.17863954
4112702,Jataizinho,,11857,20,12,1.68676731,1.01206039
4114401,Mangueirinha,,17287,20,30,1.15693874,1.73540811
4118303,Paranapoema,,2406,20,6,8.312551953,2.49376559
4121901,Ribeirão do Pinhal,,13053,20,26,1.532214817,1.99187926
4123006,Salto do Lontra,,14006,20,42,1.427959446,2.99871484
4128005,Ubiratã,,24733,20,52,0.808636235,2.10245421
4107504,Engenheiro Beltrão,,12444,18,52,1.446480231,4.17872067
4109708,Ibaiti,,30943,18,64,0.581714766,2.06831917
4110953,Itaipulândia,,10909,18,28,1.65001375,2.56668806
4112009,Jaguariaíva,,35527,18,183,0.506656909,5.15101191
4115408,Marmeleiro,,15873,18,100,1.134001134,6.3000063
4118006,Paraíso do Norte,,13246,18,20,1.3589008,1.50988978
4118907,Pérola,,11885,18,14,1.514514093,1.17795541
4120804,Quatro Barras,,26452,18,96,0.680477847,3.62921518
4123956,Santa Mônica,,3357,18,0,5.361930295,0
4128500,Wenceslau Braz,,18894,18,20,0.952683392,1.0585371
4103453,Cafelândia,,18262,16,98,0.876136239,5.36633447
4106308,Corbélia,,17466,16,54,0.916065499,3.09172106
4108957,Guamiranga,,7856,16,18,2.036659878,2.29124236
4111506,Ivaiporã,,32604,16,32,0.490737333,0.98147467
4116059,Missal,,12951,16,28,1.235425836,2.16199521
4116703,Nova Aurora,,12848,16,26,1.245330012,2.02366127
4119103,Piên,,13552,16,48,1.180637544,3.54191263
4119400,Piraí do Sul,,23514,16,86,0.680445692,3.65739559
4123808,Santa Izabel do Oeste,,12444,16,32,1.285760206,2.57152041
4101606,Arapoti,,25541,14,66,0.548138287,2.5840805
4103503,Califórnia,,9438,14,28,1.48336512,2.96673024
4104105,Campo do Tenente,,7583,14,28,1.846234999,3.69247
4104428,Candói,,14922,14,38,0.938212036,2.54657553
4106209,Contenda,,17435,14,54,0.802982506,3.09721824
4108205,Formosa do Oeste,,7641,14,30,1.832220913,3.92618767
4110003,Iguaraçu,,5478,14,6,2.555677254,1.09529025
4110078,Imbaú,,11619,14,18,1.204922971,1.54918668
4115358,Maripá,,6639,14,26,2.108751318,3.91625245
4118600,Paula Freitas,,5616,14,26,2.492877493,4.62962963
4119301,Pinhão,,29931,14,40,0.467742474,1.33640707
4121505,Rebouças,,14524,14,42,0.963921785,2.89176535
4123402,Santa Fé,,11397,14,22,1.228393437,1.93033254
4126207,Sapopema,,6444,14,28,2.172563625,4.34512725
4127007,Teixeira Soares,,9565,14,28,1.463669629,2.92733926
4100509,Altônia,,18735,12,14,0.64051241,0.74726448
4102604,Barracão,,9886,12,32,1.21383775,3.23690067
4103909,Campina da Lagoa,,15737,12,10,0.762534155,0.63544513
4104659,Carambeí,,23386,12,74,0.513127512,3.16428633
4105706,Clevelândia,,17321,12,110,0.692800647,6.35067259
4106803,Cruz Machado,,15993,12,58,0.750328269,3.62658663
4107306,Doutor Camargo,,6290,12,20,1.907790143,3.17965024
4107900,Floresta,,11559,12,10,1.038152089,0.86512674
4109005,Guapirama,,4627,12,10,2.593473093,2.16122758
4112405,Japurá,,9127,12,16,1.314780322,1.75304043
4114500,Manoel Ribas,,13702,12,46,0.875784557,3.35717414
4118204,Paranaguá,,157043,12,200,0.076412193,1.27353655
4118808,Peabiru,,13345,12,46,0.899213188,3.44698389
4120101,Porto Amazonas,,5543,12,6,2.164892657,1.08244633
4120853,Quatro Pontes,,4051,12,32,2.962231548,7.89928413
4121604,Renascença,,6839,12,22,1.754642492,3.21684457
4125555,São Manoel do Paraná,,2132,12,8,5.628517824,3.75234522
4126504,Sertanópolis,,16694,12,68,0.718821133,4.07331976
4126801,Tapejara,,15659,12,58,0.766332461,3.70394023
4127304,Terra Rica,,14862,12,10,0.807428341,0.67285695
